name,price,quantity,brand,category,entry_date,provider
Laptop,1200,4,BrandName,Electronics,2024-01-05,Asus
Mouse,45,120,TechGear,Accessories,2024-02-10,Sony
Keyboard,70,60,KeyMasters,Accessories,2024-02-12,Sony
Monitor,320,15,ViewSharp,Electronics,2024-03-01,Sony
Headphones,150,25,SoundMax,Audio,2024-03-15,Sony
Webcam,85,40,ClearView,Electronics,2024-03-20,Sony
Printer,200,10,PrintWell,Office,2024-04-01,Sony
Tablet,400,30,TabZone,Electronics,2024-04-05,Sony
Smartphone,800,20,PhonePro,Electronics,2024-04-10,Sony
External Hard Drive,100,50,StoreMore,Storage,2024-05-01,Sony
Speaker,90,35,SoundMax,Audio,2024-05-05,Sony
Microphone,110,18,VoiceClear,Audio,2024-05-10,HP
Charger,25,150,PowerPlus,Accessories,2024-05-15,Sony
USB Cable,10,200,CableWorld,Accessories,2024-05-20,Sony
Power Bank,60,80,ChargeIt,Accessories,2024-05-25,Sony
Router,150,25,NetSpeed,Networking,2024-06-01,Sony
Mouse Pad,20,100,ComfortZone,Accessories,2024-06-05,Sony
Laptop Stand,55,45,ErgoLift,Accessories,2024-06-10,Sony
Projector,550,8,ProView,Electronics,2024-06-15,Sony
Graphics Tablet,250,12,ArtMaster,Electronics,2024-06-20,Sony
Wireless Charger,75,100,ChargerMaster,Accessories,2024-07-01 ,Sony
Cargador,75,100,Sony,Accessories,2025-09-23,Sony
Cargador,75,100,Sony,Accessories,2025-09-23,Sony
